t_host_s,seq,base_us,idx,ax,ay,az,t_dev_us
1762339437.270523,5809,1149677734,5,1037,1232,-1139,1149683736
1762339437.270523,5809,1149677734,6,993,1367,-1132,1149684936
1762339437.270523,5809,1149677734,7,873,1488,-1140,1149686137
1762339437.270523,5809,1149677734,8,821,1524,-1168,1149687337
1762339437.270523,5809,1149677734,9,623,1544,-1145,1149688538
1762339437.270523,5809,1149677734,10,619,1548,-1153,1149689738
1762339437.270523,5809,1149677734,11,533,1500,-1270,1149690939
1762339437.270523,5809,1149677734,12,463,1446,-707,1149692139
1762339437.270523,5809,1149677734,13,495,1465,-166,1149693340
1762339437.270523,5809,1149677734,14,219,1247,-123,1149694540
1762339437.270523,5809,1149677734,15,162,1197,146,1149695741
1762339437.270523,5809,1149677734,16,122,1002,600,1149696941
1762339437.270523,5809,1149677734,17,98,870,872,1149698142
1762339437.270523,5809,1149677734,18,154,822,1307,1149699342
1762339437.270523,5809,1149677734,19,-10,553,1874,1149700543
1762339437.277055,5810,1149716796,0,6,387,1974,1149716796
1762339437.277055,5810,1149716796,1,-63,169,2392,1149717996
1762339437.277055,5810,1149716796,2,-140,146,2800,1149719196
1762339437.277055,5810,1149716796,3,-54,7,3167,1149720397
1762339437.277055,5810,1149716796,4,-104,122,3527,1149721597
1762339437.277055,5810,1149716796,5,-155,37,4059,1149722798
1762339437.277055,5810,1149716796,6,-193,125,4392,1149723998
1762339437.277055,5810,1149716796,7,-229,199,4633,1149725199
1762339437.277055,5810,1149716796,8,-365,397,5083,1149726399
1762339437.277055,5810,1149716796,9,-383,509,5592,1149727600
1762339437.277055,5810,1149716796,10,-381,619,5966,1149728800
1762339437.277055,5810,1149716796,11,-429,782,6049,1149730001
1762339437.277055,5810,1149716796,12,-354,835,6044,1149731201
1762339437.277055,5810,1149716796,13,-420,926,6193,1149732402
1762339437.277055,5810,1149716796,14,-387,1105,6597,1149733602
1762339437.277055,5810,1149716796,15,-483,1168,7502,1149734803
1762339437.277055,5810,1149716796,16,-338,1359,8552,1149736003
1762339437.277055,5810,1149716796,17,-331,1497,9179,1149737204
1762339437.277055,5810,1149716796,18,-150,1611,9620,1149738404
1762339437.277055,5810,1149716796,19,-129,1703,10514,1149739605
1762339437.277902,5811,1149755859,0,-3,1891,10858,1149755859
1762339437.277902,5811,1149755859,1,0,2078,11050,1149757059
1762339437.277902,5811,1149755859,2,13,2247,11387,1149758259
1762339437.277902,5811,1149755859,3,4,2394,11740,1149759460
1762339437.277902,5811,1149755859,4,82,2727,12396,1149760660
1762339437.277902,5811,1149755859,5,112,3139,12529,1149761861
1762339437.277902,5811,1149755859,6,276,3343,12665,1149763061
1762339437.277902,5811,1149755859,7,386,3712,12917,1149764262
1762339437.277902,5811,1149755859,8,401,3967,13039,1149765462
1762339437.277902,5811,1149755859,9,425,4349,13174,1149766663
1762339437.277902,5811,1149755859,10,465,4312,13342,1149767863
1762339437.277902,5811,1149755859,11,491,4555,13415,1149769064
1762339437.277902,5811,1149755859,12,502,4711,13377,1149770264
1762339437.277902,5811,1149755859,13,351,4778,13457,1149771465
1762339437.277902,5811,1149755859,14,193,4859,13303,1149772665
1762339437.277902,5811,1149755859,15,254,5007,13186,1149773866
1762339437.277902,5811,1149755859,16,328,5005,13033,1149775066
1762339437.277902,5811,1149755859,17,347,5013,12652,1149776267
1762339437.277902,5811,1149755859,18,312,4912,12339,1149777467
1762339437.277902,5811,1149755859,19,225,4742,11430,1149778668
1762339437.388803,5812,1149794921,0,159,4592,10540,1149794921
1762339437.388803,5812,1149794921,1,172,4342,10027,1149796121
1762339437.388803,5812,1149794921,2,173,4181,9875,1149797321
1762339437.388803,5812,1149794921,3,144,4090,9599,1149798522
1762339437.388803,5812,1149794921,4,65,3847,9177,1149799722
1762339437.388803,5812,1149794921,5,93,3533,8932,1149800923
1762339437.388803,5812,1149794921,6,134,3282,8458,1149802123
1762339437.388803,5812,1149794921,7,2,3224,7952,1149803324
1762339437.388803,5812,1149794921,8,83,3284,7491,1149804524
1762339437.388803,5812,1149794921,9,23,3328,7355,1149805725
1762339437.388803,5812,1149794921,10,-21,3375,6983,1149806925
1762339437.388803,5812,1149794921,11,27,3338,6640,1149808126
1762339437.388803,5812,1149794921,12,-12,3278,6504,1149809326
1762339437.388803,5812,1149794921,13,-77,3168,6229,1149810527
1762339437.388803,5812,1149794921,14,-6,3174,5908,1149811727
1762339437.388803,5812,1149794921,15,232,3078,5519,1149812928
1762339437.388803,5812,1149794921,16,24,2998,5457,1149814128
1762339437.388803,5812,1149794921,17,15,2920,5183,1149815329
1762339437.388803,5812,1149794921,18,46,2808,4825,1149816529
1762339437.388803,5812,1149794921,19,162,2690,4666,1149817730
1762339437.389271,5813,1149833984,0,138,2473,4352,1149833984
1762339437.389271,5813,1149833984,1,172,2419,4105,1149835184
1762339437.389271,5813,1149833984,2,168,2257,3665,1149836384
1762339437.389271,5813,1149833984,3,222,2121,3627,1149837585
1762339437.389271,5813,1149833984,4,281,2041,3365,1149838785
1762339437.389271,5813,1149833984,5,287,1868,3104,1149839986
1762339437.389271,5813,1149833984,6,297,1723,2987,1149841186
1762339437.389271,5813,1149833984,7,379,1669,2672,1149842387
1762339437.389271,5813,1149833984,8,401,1498,2438,1149843587
1762339437.389271,5813,1149833984,9,457,1335,2306,1149844788
1762339437.389271,5813,1149833984,10,344,1186,2084,1149845988
1762339437.389271,5813,1149833984,11,382,1132,1826,1149847189
1762339437.389271,5813,1149833984,12,437,975,1564,1149848389
1762339437.389271,5813,1149833984,13,491,852,1435,1149849590
1762339437.389271,5813,1149833984,14,485,844,1220,1149850790
1762339437.389271,5813,1149833984,15,595,725,987,1149851991
1762339437.389271,5813,1149833984,16,624,666,860,1149853191
1762339437.389271,5813,1149833984,17,632,563,700,1149854392
1762339437.389271,5813,1149833984,18,713,554,569,1149855592
1762339437.389271,5813,1149833984,19,789,433,496,1149856793
1762339437.412530,5814,1149873046,0,808,419,440,1149873046
1762339437.412530,5814,1149873046,1,817,422,408,1149874246
1762339437.412530,5814,1149873046,2,924,370,357,1149875446
1762339437.412530,5814,1149873046,3,930,376,330,1149876647
1762339437.412530,5814,1149873046,4,1027,447,206,1149877847
1762339437.412530,5814,1149873046,5,1091,431,143,1149879048
1762339437.412530,5814,1149873046,6,1092,452,101,1149880248
1762339437.412530,5814,1149873046,7,1090,492,39,1149881449
1762339437.412530,5814,1149873046,8,1118,513,-43,1149882649
1762339437.412530,5814,1149873046,9,1206,600,-77,1149883850
1762339437.412530,5814,1149873046,10,1228,718,-106,1149885050
1762339437.412530,5814,1149873046,11,1230,821,-199,1149886251
1762339437.412530,5814,1149873046,12,1323,885,-280,1149887451
1762339437.412530,5814,1149873046,13,1336,974,-333,1149888652
1762339437.412530,5814,1149873046,14,1381,1050,-374,1149889852
1762339437.412530,5814,1149873046,15,1356,1075,-461,1149891053
1762339437.412530,5814,1149873046,16,1395,1176,-500,1149892253
1762339437.412530,5814,1149873046,17,1400,1210,-555,1149893454
1762339437.412530,5814,1149873046,18,1409,1314,-653,1149894654
1762339437.412530,5814,1149873046,19,1428,1344,-749,1149895855
1762339437.518932,5815,1149912109,0,1418,1433,-816,1149912109
1762339437.518932,5815,1149912109,1,1362,1554,-909,1149913309
1762339437.518932,5815,1149912109,2,1336,1598,-967,1149914509
1762339437.518932,5815,1149912109,3,1317,1700,-1038,1149915710
1762339437.518932,5815,1149912109,4,1312,1817,-1041,1149916910
1762339437.518932,5815,1149912109,5,1300,1858,-1017,1149918111
1762339437.518932,5815,1149912109,6,1323,1944,-973,1149919311
1762339437.518932,5815,1149912109,7,1338,1987,-909,1149920512
1762339437.518932,5815,1149912109,8,1351,1964,-812,1149921712
1762339437.518932,5815,1149912109,9,1394,1951,-651,1149922913
1762339437.518932,5815,1149912109,10,1454,1923,-538,1149924113
1762339437.518932,5815,1149912109,11,1471,1878,-480,1149925314
1762339437.518932,5815,1149912109,12,1508,1851,-345,1149926514
1762339437.518932,5815,1149912109,13,1575,1795,-217,1149927715
1762339437.518932,5815,1149912109,14,1651,1721,-168,1149928915
1762339437.518932,5815,1149912109,15,1679,1673,-28,1149930116
1762339437.518932,5815,1149912109,16,1626,1673,82,1149931316
1762339437.518932,5815,1149912109,17,1631,1624,114,1149932517
1762339437.518932,5815,1149912109,18,1638,1575,124,1149933717
1762339437.518932,5815,1149912109,19,1596,1294,122,1149934918
1762339437.519436,5816,1149951171,0,1538,1492,83,1149951171
1762339437.519436,5816,1149951171,1,1502,1426,36,1149952371
1762339437.519436,5816,1149951171,2,1449,1388,-73,1149953571
1762339437.519436,5816,1149951171,3,1447,1392,-154,1149954772
1762339437.519436,5816,1149951171,4,1418,1364,-154,1149955972
1762339437.519436,5816,1149951171,5,1402,1342,-145,1149957173
1762339437.519436,5816,1149951171,6,1404,1336,-111,1149958373
1762339437.519436,5816,1149951171,7,1399,1317,-126,1149959574
1762339437.519436,5816,1149951171,8,1402,1316,-140,1149960774
1762339437.519436,5816,1149951171,9,1365,1241,-156,1149961975
1762339437.519436,5816,1149951171,10,1296,1214,-188,1149963175
1762339437.519436,5816,1149951171,11,1201,1143,-489,1149964376
1762339437.519436,5816,1149951171,12,1170,1242,-339,1149965576
1762339437.519436,5816,1149951171,13,1157,1266,-353,1149966777
1762339437.519436,5816,1149951171,14,1125,1324,-334,1149967977
1762339437.519436,5816,1149951171,15,1027,1382,-311,1149969178
1762339437.519436,5816,1149951171,16,964,1493,-334,1149970378
1762339437.519436,5816,1149951171,17,881,1504,-286,1149971579
1762339437.519436,5816,1149951171,18,858,1568,-250,1149972779
1762339437.519436,5816,1149951171,19,830,1682,-206,1149973980
1762339437.547371,5817,1149990234,0,777,1734,-147,1149990234
1762339437.547371,5817,1149990234,1,671,1733,-28,1149991434
1762339437.547371,5817,1149990234,2,669,1791,34,1149992634
1762339437.547371,5817,1149990234,3,608,1589,143,1149993835
1762339437.547371,5817,1149990234,4,522,1836,218,1149995035
1762339437.547371,5817,1149990234,5,453,1777,273,1149996236
1762339437.547371,5817,1149990234,6,457,1661,440,1149997436
1762339437.547371,5817,1149990234,7,346,1559,569,1149998637
1762339437.547371,5817,1149990234,8,197,1520,708,1149999837
1762339437.547371,5817,1149990234,9,172,1393,406,1150001038
1762339437.547371,5817,1149990234,10,237,1374,915,1150002238
1762339437.547371,5817,1149990234,11,82,1352,1357,1150003439
1762339437.547371,5817,1149990234,12,-252,1461,1493,1150004639
1762339437.547371,5817,1149990234,13,-120,1367,1837,1150005840
1762339437.547371,5817,1149990234,14,-169,1308,2203,1150007040
